Sentences,Processed Sentences,Entity_Relations
"After pre-training, natural language
is used to reference learned visual concepts (or
describe new ones) enabling zero-shot transfer
of the model to downstream tasks.","After pre training natural language
is used to reference learned visual concepts or
describe new ones enabling zero shot transfer
of the model to downstream tasks",[]
"We study
the performance of this approach by benchmark-
ing on over 30 different existing computer vi-
sion datasets, spanning tasks such as OCR, ac-
tion recognition in videos, geo-localization, and
many types of ﬁne-grained object classiﬁcation.
","We study
the performance of this approach by benchmark 
ing on over 30 different existing computer vi 
sion datasets spanning tasks such as OCR ac 
tion recognition in videos geo localization and
many types of ne grained object classi cation","[('over 30', 'study', 'OCR ac')]"
"The model transfers non-trivially to most tasks
and is often competitive with a fully supervised
baseline without the need for any dataset spe-
ciﬁc training.","The model transfers non trivially to most tasks
and is often competitive with a fully supervised
baseline without the need for any dataset spe 
ci c training",[]
"For instance, we match the ac-
curacy of the original ResNet-50 on ImageNet
zero-shot without needing to use any of the 1.28
million training examples it was trained on.","For instance we match the ac 
curacy of the original ResNet 50 on ImageNet
zero shot without needing to use any of the 1 28
million training examples it was trained on","[('ac', 'match', 'ResNet'), ('ac', 'match', 'ImageNet'), ('ac', 'match', 'zero'), ('ac', 'match', '1 28\nmillion'), ('ResNet', 'match', 'ImageNet'), ('ResNet', 'match', 'zero'), ('ResNet', 'match', '1 28\nmillion'), ('ImageNet', 'match', 'zero'), ('ImageNet', 'match', '1 28\nmillion'), ('zero', 'match', '1 28\nmillion')]"
"We
release our code and pre-trained model weights at
https://github.com/OpenAI/CLIP.

","We
release our code and pre trained model weights at
https github com OpenAI CLIP",[]
"Introduction and Motivating Work

Pre-training methods which learn directly from raw text
have revolutionized NLP over the last few years (Dai &
Le, 2015; Peters et al., 2018; Howard & Ruder, 2018; Rad-
ford et al., 2018;","Introduction and Motivating Work
Pre training methods which learn directly from raw text
have revolutionized NLP over the last few years Dai 
Le 2015 Peters et al 2018 Howard Ruder 2018 Rad 
ford et al 2018","[('NLP', 'revolutionized', 'the last few years'), ('NLP', 'revolutionized', 'Dai \nLe 2015'), ('NLP', 'revolutionized', 'Howard Ruder'), ('NLP', 'revolutionized', '2018'), ('NLP', 'revolutionized', 'ford'), ('NLP', 'revolutionized', '2018'), ('the last few years', 'revolutionized', 'Dai \nLe 2015'), ('the last few years', 'revolutionized', 'Howard Ruder'), ('the last few years', 'revolutionized', '2018'), ('the last few years', 'revolutionized', 'ford'), ('the last few years', 'revolutionized', '2018'), ('Dai \nLe 2015', 'revolutionized', 'Howard Ruder'), ('Dai \nLe 2015', 'revolutionized', '2018'), ('Dai \nLe 2015', 'revolutionized', 'ford'), ('Dai \nLe 2015', 'revolutionized', '2018'), ('Howard Ruder', 'revolutionized', '2018'), ('Howard Ruder', 'revolutionized', 'ford'), ('Howard Ruder', 'revolutionized', '2018'), ('2018', 'revolutionized', 'ford'), ('2018', 'revolutionized', '2018'), ('ford', 'revolutionized', '2018'), ('NLP', 'Peters', 'the last few years'), ('NLP', 'Peters', 'Dai \nLe 2015'), ('NLP', 'Peters', 'Howard Ruder'), ('NLP', 'Peters', '2018'), ('NLP', 'Peters', 'ford'), ('NLP', 'Peters', '2018'), ('the last few years', 'Peters', 'Dai \nLe 2015'), ('the last few years', 'Peters', 'Howard Ruder'), ('the last few years', 'Peters', '2018'), ('the last few years', 'Peters', 'ford'), ('the last few years', 'Peters', '2018'), ('Dai \nLe 2015', 'Peters', 'Howard Ruder'), ('Dai \nLe 2015', 'Peters', '2018'), ('Dai \nLe 2015', 'Peters', 'ford'), ('Dai \nLe 2015', 'Peters', '2018'), ('Howard Ruder', 'Peters', '2018'), ('Howard Ruder', 'Peters', 'ford'), ('Howard Ruder', 'Peters', '2018'), ('2018', 'Peters', 'ford'), ('2018', 'Peters', '2018'), ('ford', 'Peters', '2018'), ('NLP', 'Ruder', 'the last few years'), ('NLP', 'Ruder', 'Dai \nLe 2015'), ('NLP', 'Ruder', 'Howard Ruder'), ('NLP', 'Ruder', '2018'), ('NLP', 'Ruder', 'ford'), ('NLP', 'Ruder', '2018'), ('the last few years', 'Ruder', 'Dai \nLe 2015'), ('the last few years', 'Ruder', 'Howard Ruder'), ('the last few years', 'Ruder', '2018'), ('the last few years', 'Ruder', 'ford'), ('the last few years', 'Ruder', '2018'), ('Dai \nLe 2015', 'Ruder', 'Howard Ruder'), ('Dai \nLe 2015', 'Ruder', '2018'), ('Dai \nLe 2015', 'Ruder', 'ford'), ('Dai \nLe 2015', 'Ruder', '2018'), ('Howard Ruder', 'Ruder', '2018'), ('Howard Ruder', 'Ruder', 'ford'), ('Howard Ruder', 'Ruder', '2018'), ('2018', 'Ruder', 'ford'), ('2018', 'Ruder', '2018'), ('ford', 'Ruder', '2018'), ('NLP', 'ford', 'the last few years'), ('NLP', 'ford', 'Dai \nLe 2015'), ('NLP', 'ford', 'Howard Ruder'), ('NLP', 'ford', '2018'), ('NLP', 'ford', 'ford'), ('NLP', 'ford', '2018'), ('the last few years', 'ford', 'Dai \nLe 2015'), ('the last few years', 'ford', 'Howard Ruder'), ('the last few years', 'ford', '2018'), ('the last few years', 'ford', 'ford'), ('the last few years', 'ford', '2018'), ('Dai \nLe 2015', 'ford', 'Howard Ruder'), ('Dai \nLe 2015', 'ford', '2018'), ('Dai \nLe 2015', 'ford', 'ford'), ('Dai \nLe 2015', 'ford', '2018'), ('Howard Ruder', 'ford', '2018'), ('Howard Ruder', 'ford', 'ford'), ('Howard Ruder', 'ford', '2018'), ('2018', 'ford', 'ford'), ('2018', 'ford', '2018'), ('ford', 'ford', '2018')]"
"Devlin et al., 2018; Raffel et al., 2019).

",Devlin et al 2018 Raffel et al 2019,"[('Devlin', 'al', 'Raffel'), ('Devlin', 'al', '2019'), ('Raffel', 'al', '2019'), ('Devlin', 'al', 'Raffel'), ('Devlin', 'al', '2019'), ('Raffel', 'al', '2019')]"
"*Equal contribution 1OpenAI, San Francisco, CA 94110, USA.

",Equal contribution 1OpenAI San Francisco CA 94110 USA,"[('1OpenAI', 'contribution', 'San Francisco'), ('1OpenAI', 'contribution', 'USA'), ('San Francisco', 'contribution', 'USA')]"
"Correspondence to: <{alec, jongwook}@openai.com>.

",Correspondence to alec jongwook openai com,[]
"Task-agnostic objectives such as autoregressive and masked
language modeling have scaled across many orders of mag-
nitude in compute, model capacity, and data, steadily im-
proving capabilities.","Task agnostic objectives such as autoregressive and masked
language modeling have scaled across many orders of mag 
nitude in compute model capacity and data steadily im 
proving capabilities",[]
"The development of “text-to-text” as
a standardized input-output interface (McCann et al., 2018;
Radford et al., 2019; Raffel et al., 2019) has enabled task-
agnostic architectures to zero-shot transfer to downstream
datasets removing the need for specialized output heads or
dataset speciﬁc customization.","The development of text to text as
a standardized input output interface McCann et al 2018 
Radford et al 2019 Raffel et al 2019 has enabled task 
agnostic architectures to zero shot transfer to downstream
datasets removing the need for specialized output heads or
dataset speci c customization","[('McCann et al 2018', 'development', 'Radford et al 2019'), ('McCann et al 2018', 'development', 'Raffel'), ('McCann et al 2018', 'development', 'al 2019'), ('McCann et al 2018', 'development', 'zero'), ('Radford et al 2019', 'development', 'Raffel'), ('Radford et al 2019', 'development', 'al 2019'), ('Radford et al 2019', 'development', 'zero'), ('Raffel', 'development', 'al 2019'), ('Raffel', 'development', 'zero'), ('al 2019', 'development', 'zero'), ('McCann et al 2018', 'development of', 'Radford et al 2019'), ('McCann et al 2018', 'development of', 'Raffel'), ('McCann et al 2018', 'development of', 'al 2019'), ('McCann et al 2018', 'development of', 'zero'), ('Radford et al 2019', 'development of', 'Raffel'), ('Radford et al 2019', 'development of', 'al 2019'), ('Radford et al 2019', 'development of', 'zero'), ('Raffel', 'development of', 'al 2019'), ('Raffel', 'development of', 'zero'), ('al 2019', 'development of', 'zero'), ('McCann et al 2018', 'enabled', 'Radford et al 2019'), ('McCann et al 2018', 'enabled', 'Raffel'), ('McCann et al 2018', 'enabled', 'al 2019'), ('McCann et al 2018', 'enabled', 'zero'), ('Radford et al 2019', 'enabled', 'Raffel'), ('Radford et al 2019', 'enabled', 'al 2019'), ('Radford et al 2019', 'enabled', 'zero'), ('Raffel', 'enabled', 'al 2019'), ('Raffel', 'enabled', 'zero'), ('al 2019', 'enabled', 'zero')]"
"Flagship systems like GPT-3
(Brown et al., 2020) are now competitive across many tasks
with bespoke models while requiring little to no dataset
speciﬁc training data.

","Flagship systems like GPT 3
 Brown et al 2020 are now competitive across many tasks
with bespoke models while requiring little to no dataset
speci c training data","[('GPT', 'are', '2020')]"
"These results suggest that the aggregate supervision acces-
sible to modern pre-training methods within web-scale col-
lections of text surpasses that of high-quality crowd-labeled
NLP datasets.","These results suggest that the aggregate supervision acces 
sible to modern pre training methods within web scale col 
lections of text surpasses that of high quality crowd labeled
NLP datasets",[]
"However, in other ﬁelds such as computer
vision it is still standard practice to pre-train models on
crowd-labeled datasets such as ImageNet (Deng et al., 2009).
","However in other elds such as computer
vision it is still standard practice to pre train models on
crowd labeled datasets such as ImageNet Deng et al 2009",[]
"Could scalable pre-training methods which learn directly
from web text result in a similar breakthrough in computer
vision?","Could scalable pre training methods which learn directly
from web text result in a similar breakthrough in computer
vision",[]
"Prior work is encouraging.

",Prior work is encouraging,[]
Over 20 years ago Mori et al. (1999),Over 20 years ago Mori et al 1999,"[('20 years ago', 'ago', 'Mori et al 1999')]"
"explored improving
content based image retrieval by training a model to pre-
dict the nouns and adjectives in text documents paired with
images.","explored improving
content based image retrieval by training a model to pre 
dict the nouns and adjectives in text documents paired with
images",[]
"Quattoni et al. (2007) demonstrated it was possi-
ble to learn more data efﬁcient image representations via
manifold learning in the weight space of classiﬁers trained
to predict words in captions associated with images.","Quattoni et al 2007 demonstrated it was possi 
ble to learn more data ef cient image representations via
manifold learning in the weight space of classi ers trained
to predict words in captions associated with images","[('2007', 'demonstrated', 'ers')]"
"Sri-
vastava & Salakhutdinov (2012) explored deep represen-
tation learning by training multimodal Deep Boltzmann
Machines on top of low-level image and text tag features.
","Sri 
vastava Salakhutdinov 2012 explored deep represen 
tation learning by training multimodal Deep Boltzmann
Machines on top of low level image and text tag features","[('Sri \nvastava Salakhutdinov', 'explored', '2012'), ('Sri \nvastava Salakhutdinov', 'explored', 'deep represen \ntation learning'), ('Sri \nvastava Salakhutdinov', 'explored', 'Deep Boltzmann\nMachines'), ('2012', 'explored', 'deep represen \ntation learning'), ('2012', 'explored', 'Deep Boltzmann\nMachines'), ('deep represen \ntation learning', 'explored', 'Deep Boltzmann\nMachines'), ('Sri \nvastava Salakhutdinov', 'explored deep', '2012'), ('Sri \nvastava Salakhutdinov', 'explored deep', 'deep represen \ntation learning'), ('Sri \nvastava Salakhutdinov', 'explored deep', 'Deep Boltzmann\nMachines'), ('2012', 'explored deep', 'deep represen \ntation learning'), ('2012', 'explored deep', 'Deep Boltzmann\nMachines'), ('deep represen \ntation learning', 'explored deep', 'Deep Boltzmann\nMachines')]"
Joulin et al.,Joulin et al,[]
"(2016) modernized this line of work and demon-
strated that CNNs trained to predict words in image cap-
tions learn useful image representations.","2016 modernized this line of work and demon 
strated that CNNs trained to predict words in image cap 
tions learn useful image representations",[]
"They converted
the title, description, and hashtag metadata of images in the
YFCC100M dataset (Thomee et al., 2016) into a bag-of-
words multi-label classiﬁcation task and showed that pre-
training AlexNet (Krizhevsky et al., 2012) to predict these
labels learned representations which preformed similarly
to ImageNet-based pre-training on transfer tasks.","They converted
the title description and hashtag metadata of images in the
YFCC100M dataset Thomee et al 2016 into a bag of 
words multi label classi cation task and showed that pre 
training AlexNet Krizhevsky et al 2012 to predict these
labels learned representations which preformed similarly
to ImageNet based pre training on transfer tasks","[('2016', 'converted', 'AlexNet Krizhevsky et al 2012'), ('2016', 'converted', 'ImageNet'), ('AlexNet Krizhevsky et al 2012', 'converted', 'ImageNet')]"
"Li et al.
(2017) then extended this approach to predicting phrase n-
grams in addition to individual words and demonstrated the
ability of their system to zero-shot transfer to other image







Learning Transferable Visual Models From Natural Language Supervision

2

Figure 1.","Li et al 
 2017 then extended this approach to predicting phrase n 
grams in addition to individual words and demonstrated the
ability of their system to zero shot transfer to other image
 Learning Transferable Visual Models From Natural Language Supervision
2
Figure 1","[('Li et al \n ', 'extended', '2017'), ('Li et al \n ', 'extended', 'zero'), ('Li et al \n ', 'extended', '2'), ('Li et al \n ', 'extended', '1'), ('2017', 'extended', 'zero'), ('2017', 'extended', '2'), ('2017', 'extended', '1'), ('zero', 'extended', '2'), ('zero', 'extended', '1'), ('2', 'extended', '1')]"
Summary of our approach.,Summary of our approach,[]
"While standard image models jointly train an image feature extractor and a linear classiﬁer to predict
some label, CLIP jointly trains an image encoder and a text encoder to predict the correct pairings of a batch of (image, text) training
examples.","While standard image models jointly train an image feature extractor and a linear classi er to predict
some label CLIP jointly trains an image encoder and a text encoder to predict the correct pairings of a batch of image text training
examples",[]
"At test time the learned text encoder synthesizes a zero-shot linear classiﬁer by embedding the names or descriptions of the
target dataset’s classes.

","At test time the learned text encoder synthesizes a zero shot linear classi er by embedding the names or descriptions of the
target dataset s classes",[]
"classiﬁcation datasets by scoring target classes based on
their dictionary of learned visual n-grams and predicting the
one with the highest score.","classi cation datasets by scoring target classes based on
their dictionary of learned visual n grams and predicting the
one with the highest score",[]
"Adopting more recent architec-
tures and pre-training approaches, VirTex (Desai & Johnson,
2020), ICMLM (Bulent Sariyildiz et al., 2020), and Con-
VIRT (Zhang et al., 2020) have recently demonstrated the
potential of transformer-based language modeling, masked
language modeling, and contrastive objectives to learn im-
age representations from text.

","Adopting more recent architec 
tures and pre training approaches VirTex Desai Johnson 
2020 ICMLM Bulent Sariyildiz et al 2020 and Con 
VIRT Zhang et al 2020 have recently demonstrated the
potential of transformer based language modeling masked
language modeling and contrastive objectives to learn im 
age representations from text","[('Desai Johnson', 'Adopting', '2020'), ('Desai Johnson', 'Adopting', 'ICMLM'), ('Desai Johnson', 'Adopting', 'Sariyildiz'), ('Desai Johnson', 'Adopting', '2020'), ('Desai Johnson', 'Adopting', 'Con \nVIRT'), ('Desai Johnson', 'Adopting', '2020'), ('2020', 'Adopting', 'ICMLM'), ('2020', 'Adopting', 'Sariyildiz'), ('2020', 'Adopting', '2020'), ('2020', 'Adopting', 'Con \nVIRT'), ('2020', 'Adopting', '2020'), ('ICMLM', 'Adopting', 'Sariyildiz'), ('ICMLM', 'Adopting', '2020'), ('ICMLM', 'Adopting', 'Con \nVIRT'), ('ICMLM', 'Adopting', '2020'), ('Sariyildiz', 'Adopting', '2020'), ('Sariyildiz', 'Adopting', 'Con \nVIRT'), ('Sariyildiz', 'Adopting', '2020'), ('2020', 'Adopting', 'Con \nVIRT'), ('2020', 'Adopting', '2020'), ('Con \nVIRT', 'Adopting', '2020'), ('Desai Johnson', 'Sariyildiz', '2020'), ('Desai Johnson', 'Sariyildiz', 'ICMLM'), ('Desai Johnson', 'Sariyildiz', 'Sariyildiz'), ('Desai Johnson', 'Sariyildiz', '2020'), ('Desai Johnson', 'Sariyildiz', 'Con \nVIRT'), ('Desai Johnson', 'Sariyildiz', '2020'), ('2020', 'Sariyildiz', 'ICMLM'), ('2020', 'Sariyildiz', 'Sariyildiz'), ('2020', 'Sariyildiz', '2020'), ('2020', 'Sariyildiz', 'Con \nVIRT'), ('2020', 'Sariyildiz', '2020'), ('ICMLM', 'Sariyildiz', 'Sariyildiz'), ('ICMLM', 'Sariyildiz', '2020'), ('ICMLM', 'Sariyildiz', 'Con \nVIRT'), ('ICMLM', 'Sariyildiz', '2020'), ('Sariyildiz', 'Sariyildiz', '2020'), ('Sariyildiz', 'Sariyildiz', 'Con \nVIRT'), ('Sariyildiz', 'Sariyildiz', '2020'), ('2020', 'Sariyildiz', 'Con \nVIRT'), ('2020', 'Sariyildiz', '2020'), ('Con \nVIRT', 'Sariyildiz', '2020'), ('Desai Johnson', 'demonstrated', '2020'), ('Desai Johnson', 'demonstrated', 'ICMLM'), ('Desai Johnson', 'demonstrated', 'Sariyildiz'), ('Desai Johnson', 'demonstrated', '2020'), ('Desai Johnson', 'demonstrated', 'Con \nVIRT'), ('Desai Johnson', 'demonstrated', '2020'), ('2020', 'demonstrated', 'ICMLM'), ('2020', 'demonstrated', 'Sariyildiz'), ('2020', 'demonstrated', '2020'), ('2020', 'demonstrated', 'Con \nVIRT'), ('2020', 'demonstrated', '2020'), ('ICMLM', 'demonstrated', 'Sariyildiz'), ('ICMLM', 'demonstrated', '2020'), ('ICMLM', 'demonstrated', 'Con \nVIRT'), ('ICMLM', 'demonstrated', '2020'), ('Sariyildiz', 'demonstrated', '2020'), ('Sariyildiz', 'demonstrated', 'Con \nVIRT'), ('Sariyildiz', 'demonstrated', '2020'), ('2020', 'demonstrated', 'Con \nVIRT'), ('2020', 'demonstrated', '2020'), ('Con \nVIRT', 'demonstrated', '2020')]"
"While exciting as proofs of concept, using natural language
supervision for image representation learning is still rare.
","While exciting as proofs of concept using natural language
supervision for image representation learning is still rare",[]
"This is likely because demonstrated performance on com-
mon benchmarks is much lower than alternative approaches.
","This is likely because demonstrated performance on com 
mon benchmarks is much lower than alternative approaches",[]
"For example, Li et al. (2017) reach only 11.5% accuracy
on ImageNet in a zero-shot setting.","For example Li et al 2017 reach only 11 5 accuracy
on ImageNet in a zero shot setting","[('2017', 'reach', 'only 11 5'), ('2017', 'reach', 'ImageNet'), ('2017', 'reach', 'zero'), ('only 11 5', 'reach', 'ImageNet'), ('only 11 5', 'reach', 'zero'), ('ImageNet', 'reach', 'zero')]"
"This is well below the
88.4% accuracy of the current state of the art (Xie et al.,
2020).","This is well below the
88 4 accuracy of the current state of the art Xie et al 
2020","[('88', 'is', 'Xie et al \n'), ('88', 'is', '2020'), ('Xie et al \n', 'is', '2020')]"
"It is even below the 50% accuracy of classic com-
puter vision approaches (Deng et al., 2012).","It is even below the 50 accuracy of classic com 
puter vision approaches Deng et al 2012","[('50', 'is', 'Deng et al 2012')]"
"Instead, more
narrowly scoped but well-targeted uses of weak supervision
have improved performance.","Instead more
narrowly scoped but well targeted uses of weak supervision
have improved performance",[]
"Mahajan et al. (2018) showed
that predicting ImageNet-related hashtags on Instagram im-
ages is an effective pre-training task.","Mahajan et al 2018 showed
that predicting ImageNet related hashtags on Instagram im 
ages is an effective pre training task","[('Mahajan et al 2018', 'showed', 'ImageNet'), ('Mahajan et al 2018', 'showed', 'Instagram'), ('ImageNet', 'showed', 'Instagram')]"
"When ﬁne-tuned to
ImageNet these pre-trained models increased accuracy by
over 5% and improved the overall state of the art at the time.
","When ne tuned to
ImageNet these pre trained models increased accuracy by
over 5 and improved the overall state of the art at the time","[('ImageNet', 'increased', 'over 5')]"
"Kolesnikov et al. (2019) and Dosovitskiy et al. (2020) have
also demonstrated large gains on a broader set of transfer
benchmarks by pre-training models to predict the classes of
the noisily labeled JFT-300M dataset.

","Kolesnikov et al 2019 and Dosovitskiy et al 2020 have
also demonstrated large gains on a broader set of transfer
benchmarks by pre training models to predict the classes of
the noisily labeled JFT 300M dataset","[('Kolesnikov et al 2019', 'demonstrated', 'Dosovitskiy et al 2020'), ('Kolesnikov et al 2019', 'demonstrated', '300'), ('Dosovitskiy et al 2020', 'demonstrated', '300'), ('Kolesnikov et al 2019', 'demonstrated large', 'Dosovitskiy et al 2020'), ('Kolesnikov et al 2019', 'demonstrated large', '300'), ('Dosovitskiy et al 2020', 'demonstrated large', '300')]"
"This line of work represents the current pragmatic middle
ground between learning from a limited amount of super-
vised “gold-labels” and learning from practically unlimited
amounts of raw text.","This line of work represents the current pragmatic middle
ground between learning from a limited amount of super 
vised gold labels and learning from practically unlimited
amounts of raw text",[]
"However, it is not without compro-

mises.","However it is not without compro 
mises",[]
"Both works carefully design, and in the process limit,
their supervision to 1000 and 18291 classes respectively.
","Both works carefully design and in the process limit 
their supervision to 1000 and 18291 classes respectively","[('1000', 'works', '18291')]"
"Natural language is able to express, and therefore supervise,
a much wider set of visual concepts through its general-
ity.","Natural language is able to express and therefore supervise 
a much wider set of visual concepts through its general 
ity",[]
"Both approaches also use static softmax classiﬁers to
perform prediction and lack a mechanism for dynamic out-
puts.","Both approaches also use static softmax classi ers to
perform prediction and lack a mechanism for dynamic out 
puts",[]
"This severely curtails their ﬂexibility and limits their
“zero-shot” capabilities.

","This severely curtails their exibility and limits their
 zero shot capabilities",[]
"A crucial difference between these weakly supervised mod-
els and recent explorations of learning image representations
directly from natural language is scale.","A crucial difference between these weakly supervised mod 
els and recent explorations of learning image representations
directly from natural language is scale",[]
"While Mahajan et al.
(2018) and Kolesnikov et al. (2019) trained their models for
accelerator years on millions to billions of images, VirTex,
ICMLM, and ConVIRT trained for accelerator days on one
to two hundred thousand images.","While Mahajan et al 
 2018 and Kolesnikov et al 2019 trained their models for
accelerator years on millions to billions of images VirTex 
ICMLM and ConVIRT trained for accelerator days on one
to two hundred thousand images","[('Mahajan et al \n 2018', 'trained', 'Kolesnikov et al 2019'), ('Mahajan et al \n 2018', 'trained', 'years'), ('Mahajan et al \n 2018', 'trained', 'millions to billions'), ('Mahajan et al \n 2018', 'trained', 'VirTex'), ('Mahajan et al \n 2018', 'trained', 'ICMLM'), ('Mahajan et al \n 2018', 'trained', 'days'), ('Mahajan et al \n 2018', 'trained', 'one'), ('Mahajan et al \n 2018', 'trained', 'two hundred thousand'), ('Kolesnikov et al 2019', 'trained', 'years'), ('Kolesnikov et al 2019', 'trained', 'millions to billions'), ('Kolesnikov et al 2019', 'trained', 'VirTex'), ('Kolesnikov et al 2019', 'trained', 'ICMLM'), ('Kolesnikov et al 2019', 'trained', 'days'), ('Kolesnikov et al 2019', 'trained', 'one'), ('Kolesnikov et al 2019', 'trained', 'two hundred thousand'), ('years', 'trained', 'millions to billions'), ('years', 'trained', 'VirTex'), ('years', 'trained', 'ICMLM'), ('years', 'trained', 'days'), ('years', 'trained', 'one'), ('years', 'trained', 'two hundred thousand'), ('millions to billions', 'trained', 'VirTex'), ('millions to billions', 'trained', 'ICMLM'), ('millions to billions', 'trained', 'days'), ('millions to billions', 'trained', 'one'), ('millions to billions', 'trained', 'two hundred thousand'), ('VirTex', 'trained', 'ICMLM'), ('VirTex', 'trained', 'days'), ('VirTex', 'trained', 'one'), ('VirTex', 'trained', 'two hundred thousand'), ('ICMLM', 'trained', 'days'), ('ICMLM', 'trained', 'one'), ('ICMLM', 'trained', 'two hundred thousand'), ('days', 'trained', 'one'), ('days', 'trained', 'two hundred thousand'), ('one', 'trained', 'two hundred thousand')]"
"In this work, we close
this gap and study the behaviors of image classiﬁers trained
with natural language supervision at large scale.","In this work we close
this gap and study the behaviors of image classi ers trained
with natural language supervision at large scale",[]
